episode,score,total_reward,epsilon,avg_loss
578,4,70.0,0.01,0.236225
579,0,2.5,0.01,0.359721
580,0,2.5,0.01,0.121103
581,0,2.5,0.01,0.407916
582,1,28.6,0.01,0.300486
583,0,2.5,0.01,0.129153
584,4,76.6,0.01,0.315272
585,3,60.8,0.01,0.205631
586,3,60.6,0.01,0.292838
587,1,22.1,0.01,0.248936
588,1,28.6,0.01,0.276312
589,0,11.8,0.01,0.291387
590,0,14.3,0.01,0.194219
591,0,12.5,0.01,0.298991
592,0,12.5,0.01,0.277151
593,0,12.5,0.01,0.201836
594,1,30.0,0.01,0.396753
595,0,14.1,0.01,0.368978
596,0,12.6,0.01,0.347141
597,0,5.9,0.01,0.509035
598,0,12.6,0.01,0.3684
599,0,12.5,0.01,0.498733
600,0,2.5,0.01,0.381551
601,0,12.5,0.01,0.355468
602,0,12.5,0.01,0.556607
603,1,21.4,0.01,0.442303
604,0,12.5,0.01,0.454961
605,1,29.0,0.01,0.318386
606,0,12.5,0.01,0.491892
607,0,12.9,0.01,0.429987
608,0,2.5,0.01,0.228851
609,1,30.1,0.01,0.479539
610,1,28.6,0.01,0.457153
611,0,12.5,0.01,0.401138
612,0,3.2,0.01,0.414221
613,0,2.5,0.01,0.593696
614,0,12.5,0.01,0.497383
615,0,12.5,0.01,0.598345
616,0,12.7,0.01,0.607643
617,0,4.6,0.01,0.479277
618,0,12.7,0.01,0.562544
619,0,12.5,0.01,0.603194
620,0,12.5,0.01,0.522199
621,0,2.5,0.01,0.672312
622,0,12.5,0.01,0.447467
623,0,11.7,0.01,0.515064
624,0,12.5,0.01,0.578119
625,0,10.4,0.01,0.513915
626,0,2.5,0.01,0.424607
627,0,2.5,0.01,0.656691
628,0,12.6,0.01,0.694605
629,0,12.9,0.01,0.431871
630,2,44.6,0.01,0.618024
631,1,28.8,0.01,0.511347
632,0,13.5,0.01,0.654349
633,0,12.6,0.01,0.621985
634,0,12.5,0.01,0.496994
635,0,12.5,0.01,0.493403
636,0,12.9,0.01,0.484521
637,1,15.9,0.01,0.748224
638,0,13.9,0.01,0.42447
639,0,12.5,0.01,0.581481
640,1,28.6,0.01,0.474934
641,0,12.5,0.01,0.563347
642,0,12.9,0.01,0.522674
643,0,12.5,0.01,0.634562
644,0,12.5,0.01,0.570322
645,0,14.3,0.01,0.449649
646,0,12.8,0.01,0.43589
647,0,12.5,0.01,0.450723
648,0,12.5,0.01,0.51708
649,0,12.5,0.01,0.469837
650,0,13.9,0.01,0.634236
651,1,28.6,0.01,0.525268
